s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
1,1,1,26,1.414214,1,1,1,0
0,0,0,10,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
2,2,3,26,0.000000,2,2,3,0
3,3,4,26,1.414214,3,3,4,0
4,4,5,21,1.414214,4,4,5,0
5,5,6,26,1.414214,5,5,6,0
6,5,5,26,0.667944,6,5,5,0
7,6,6,1,1.403124,7,6,6,0
8,7,7,26,1.394449,8,7,7,0
9,8,8,21,1.369483,9,8,8,0
10,9,9,13,1.236068,10,9,9,0
10,8,10,18,-1.000000,10,8,10,0
10,9,10,26,1.000000,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,0,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
0,0,0,20,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,11,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,13,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,22,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
10,9,10,26,13.142136,10,9,10,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,6,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
9,9,10,2,12.727922,9,9,10,0
0,0,0,12,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,22,10.000000,0,0,0,1
10,9,8,26,13.142136,10,9,8,0
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,10.000000,0,0,0,1
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,1,-1.414214,0,0,0,0
1,1,1,10,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,0,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,0,2,26,-0.078326,2,0,2,0
0,0,0,14,-1.335887,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
0,0,1,26,0.000000,0,0,1,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,16,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
0,0,0,26,0.000000,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,0,0,15,0.688512,1,0,0,0
0,0,0,26,-0.688512,0,0,0,0
1,1,1,11,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,18,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
2,2,2,26,1.414214,2,2,2,0
0,0,0,26,-2.828427,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
1,1,1,26,1.414214,1,1,1,0
0,0,0,26,-1.414214,0,0,0,0
